Stage Name,Full Name,Date of Birth,Group,Country,Birthplace,Other Group,Gender
Ayamy,,7/15/00,Bling Bling,Japan,,,F
Ayeon,Son Minji,9/29/02,Saturday,South Korea,,,F
Ayno,Noh Yoonho,5/1/96,VAV,South Korea,,,M
B-Bomb,Lee Minhyuk,12/14/90,Block B,South Korea,Seoul,Bastarz,M
B-Joo,Kim Byungjoo,1/8/94,Topp Dogg,South Korea,Seoul,,M
B.I,Kim Hanbin,10/22/96,,South Korea,Goyang,,M
B.S,Lee Youngsoo,4/14/95,14U,South Korea,,,M
Babysoul,Lee Soojung,7/6/92,Lovelyz,South Korea,Gwangju,,F
Bada,Kim Bada,5/28/02,Hinapia,South Korea,,,F
Baekah,Kim Sua,10/24/99,XUM,South Korea,,,F
Baekgyeul,Baek Sunwoo,12/1/99,E'LAST,South Korea,,,M
Baekho,Kang Dongho,7/21/95,NU'EST,South Korea,Jeju,NU'EST W,M
Baekhyun,Byun Baekhyun,5/6/92,EXO,South Korea,Wonmi,"EXO-CBX, SuperM",M
BamBam,Kunpimook Bhuwakul,5/2/97,GOT7,Thailand,Bangkok,,M
Bang Chan,Bang Chan,10/3/97,Stray Kids,Australia,Sydney,3RACHA,M
Baro,Cha Sunwoo,9/5/92,,South Korea,Gwangju,,M
Baron,Choi Chunghyeop,4/19/92,VAV,South Korea,,,M
BC,Jin Sungho,7/18/94,1TEAM,South Korea,,,M
Bekah,Rebecca Kim,8/11/89,,South Korea,Honolulu,,F
BEL,Choi Sunghoon,5/21/00,DUSTIN,South Korea,,,M
Bella,Choi Yuna,2/2/99,ELRIS,South Korea,,,F
Belle,Jin Hyeonjoo,11/3/01,Cignature,South Korea,Goyang,,F
Benji,Baek Jaewook,5/3/92,B.I.G,USA,Indianapolis,,M
Beomgyu,Choi Beomgyu,3/13/01,TXT,South Korea,,,M
Bian,Yu Jiwon,2/13/01,ANS,South Korea,,,F
BIBI,Kim Hyungseo,9/27/98,,South Korea,,,F
Bic,Nam Seungmin,4/25/01,MCND,South Korea,,,M
Bin,Kwon Soobin,10/28/93,Hot Blood Youth,South Korea,,,M
Binnie,Bae Yubin,9/9/97,Oh My Girl,South Korea,Chuncheon,,F
Bit,No Minjae,7/21/04,BAE173,South Korea,,,M
Bitsaeon,Kim Sangyeon,6/4/95,MONT,South Korea,,,M
Bitto,Lee Changhyun,8/24/96,UP10TION,South Korea,Dongducheon,,M
Blue,Jung Gahee,1/18/94,Pungdeng-E,South Korea,Gwangju,,F
BM,Matthew Kim,10/20/92,KARD,South Korea,,,M
BoA,Kwon Boa,11/5/89,,South Korea,Guri,,F
Boa,Kim Boah,1/14/87,KEEMBO,South Korea,,,F
Bobby,Kim Jiwon,12/21/95,iKON,South Korea,Seoul,,M
Bohyung,Kim Bohyung,3/31/91,KEEMBO,South Korea,,SPICA-S,F
Bokeun,Kim Bokeun,10/12/94,SIGNAL,South Korea,,,M
Bom,Park Bom,3/24/84,2NE1,South Korea,,,F
Bomi,Yoon Bomi,9/13/93,Apink,South Korea,Suwon,,F
Bomin,Choi Bomin,8/24/00,Golden Child,South Korea,,,M
Bomin,Kim Bomin,9/24/01,RedSquare,South Korea,Gwangju,,F
Bona,Kim Jiyeon,8/19/95,Cosmic Girls,South Korea,Daegu,,F
Boni,Choi Euijeong,10/30/99,Dreamnote,South Korea,,,F
Bora,Yoon Bora,12/30/89,SISTAR,South Korea,,SISTAR19,F
Bora,Kim Bora,3/3/99,Cherry Bullet,South Korea,,,F
Boram,Jeon Boram,3/22/86,T-ara,South Korea,Seoul,,F
Bullet,Jin Junwoo,12/2/95,VARSITY,South Korea,Seoul,,M
BX,Lee Byounggon,3/5/98,CIX,South Korea,Incheon,,M
Byungchan,Choi Byungchan,11/12/97,VICTON,South Korea,,,M
C.A.P,Bang Minsoo,11/4/92,Teen Top,South Korea,Seongnam,,M
Cao Lu,Cao Lu,8/30/87,Fiestar,China,Zhangjiajie,,F
Casper,Chu Xiaoxiang,3/20/91,CROSS GENE,China,Shanghai,,M
Castle J,Son Sangjoon,5/31/99,MCND,South Korea,,,M
Cha Hoon,Cha Hoon,7/12/94,N.Flying,South Korea,Seoul,,M
Chaea,Kim Chaeyoung,7/5/97,RedSquare,South Korea,Gunsan,,F
Chaebin,Choi Yoobin,7/28/99,NATURE,South Korea,,,F
Chaehyun,Kim Chaehyun,11/29/99,Bonus Baby,South Korea,,,F
Chaein,Lee Chaeyoung,12/5/02,Purple Kiss,South Korea,,,F
Chaejin,Chae Jinseok,12/26/95,MYNAME,South Korea,Seoul,,M
Chaekyung,Yoon Chaekyung,7/7/96,APRIL,South Korea,Incheon,"C.I.V.A, I.B.I",F
Chaelin,Lee Chaelin,10/20/99,FANATICS,South Korea,,,F
Chaerin,Park Chaerin,3/13/02,Cherry Bullet,South Korea,,,F
Chaeryeong,Lee Chaeryeong,6/5/01,ITZY,South Korea,,,F
Chaesol,Maeng Chaesol,7/14/98,Cignature,South Korea,Yeosu,,F
Chaewon,Kim Chaewon,11/8/97,APRIL,South Korea,Gongju,,F
Chaewon,Kim Chaewon,8/1/00,IZ*ONE,South Korea,Seoul,,F
Chaewon,Lee Chaewon,3/18/00,Maka Maka,South Korea,,,F
ChaeY,Song Chaeyeon,1/6/03,CRAXY,South Korea,,,F
Chaeyeon,Jung Chaeyeon,12/1/97,DIA,South Korea,Suncheon,I.O.I,F
Chaeyeon,Kim Chaeyeon,12/4/04,Busters,South Korea,,,F
Chaeyeon,Lee Chaeyeon,1/11/00,IZ*ONE,South Korea,Yongin,,F
Chaeyoung,Son Chaeyoung,4/23/99,Twice,South Korea,Seoul,,F
Chaeyoung,Lee Chaeyoung,5/14/00,fromis_9,South Korea,Pohang,,F
Chahee,Park Sooyoung,3/24/96,MELODYDAY,South Korea,,,F
Chan,Jung Chanwoo,1/26/98,iKON,South Korea,Yongin,,M
Chan,Kang Yoochan,12/31/97,A.C.E,South Korea,Jeju,UNB,M
Chan,Jo Chanhyuk,12/8/99,TOO,South Korea,,,M
Changbin,Seo Changbin,8/11/99,Stray Kids,South Korea,Yongin,3RACHA,M
Changbum,Woo Changbum,10/7/93,,South Korea,Sokcho,,M
Changgyu,Song Changgyu,7/6/93,UNVS,South Korea,,,M
Changjo,Choi Jonghyun,11/16/95,Teen Top,South Korea,Chuncheon,,M
Changsub,Lee Changsub,2/26/91,BtoB,South Korea,Suwon,,M
Changsun,Lee Changsun,3/17/96,24K,South Korea,,,M
Changuk,Joo Changuk,7/25/01,DRIPPIN,South Korea,,,M
Chani,Kang Chanhee,1/17/00,SF9,South Korea,,,M
Chanmi,Kim Chanmi,6/19/96,AoA,South Korea,Gumi,,F
Chansung,Hwang Chansung,2/11/90,2PM,South Korea,Seoul,,M
Chanyeol,Park Chanyeol,11/27/92,EXO,South Korea,Seoul,,M
Chanyong,Kim Chanyong,4/29/93,100%,South Korea,Suwon,,M
Chanyoung,Kim Chanyoung,11/20/00,D-CRUNCH,South Korea,,,M
Chen,Kim Jongdae,9/21/92,EXO,South Korea,Silheung,EXO-CBX,M
Cheng Xiao,Cheng Xiao,7/15/98,Cosmic Girls,China,Shenzhen,,F
Chenle,Zhong Chenle,11/22/01,NCT,China,Shanghai,NCT Dream,M
Cheongeum,Jang Cheongeum,6/19/96,Ho1iday,South Korea,,,F
Chiayi,Li Chiayi,1/22/00,FANATICS,Taiwan,,FANATICS FLAVOR,F
Chihoon,Choi Chihoon,4/27/99,TOO,South Korea,,,M
Choa,Park Choa,3/6/90,,South Korea,Incheon,,F
Choa,Heo Minjin,7/12/90,Crayon Pop,South Korea,Seoul,,F
Choerry,Choi Yerim,6/4/01,LOONA,South Korea,,Loona Odd Eye Circle,F
Choi In,Choi In,2/11/96,E'LAST,South Korea,,,M
Choi Jiann,Choi Jaewoo,9/30/97,Newkidd,South Korea,,,M
Chorong,Park Chorong,3/3/91,Apink,South Korea,Chungwongoon,,F
Chungha,Kim Chungha,2/9/96,,South Korea,Dallas,,F
Chunji,Lee Chanhee,10/5/93,Teen Top,South Korea,Seongnam,,M
Chuu,Kim Jiwoo,10/20/99,LOONA,South Korea,Cheongju,Loona yyxy,F
CL,Lee Chaerin,2/26/91,2NE1,South Korea,,,F
CNU,Shin Dongwoo,6/16/91,B1A4,South Korea,Seoul,,M
Cory,Hong Joohyung,11/25/90,24K,South Korea,Daegu,,M
Cui Xiang,Cui Xiang,1/26/95,BOTOPASS,China,,,F
Cya,Lee Giwook,1/24/00,Onewe,South Korea,,,M
D.ana,Cho Eunae,9/10/95,Sonamoo,South Korea,Seoul,,F
D.O.,Do Kyungsoo,1/12/93,EXO,South Korea,Gyeonggi,,M
D1,Jang Dongil,2/15/98,DKB,South Korea,,,M
Dabi,Park Jiwon,1/19/00,AREAL,South Korea,,,F
Daehwi,Lee Daehwi,1/29/01,AB6IX,South Korea,Seoul,,M
Daehyeon,Jang Daehyeon,2/11/97,WEi,South Korea,,,M
Daehyun,Jung Daehyun,6/28/93,B.A.P,South Korea,Busan,,M
Daeil,Kim Daeil,5/10/92,,South Korea,Busan,,M
Daesung,Daesung,4/26/89,BIGBANG,South Korea,Incheon,,M
Daeun,Jung Daeun,6/3/94,2EYES,South Korea,Bucheon,,F
Daewang Nim,Daewang Nim,4/8/96,Pink Fantasy,South Korea,,,F
Daeyeol,Lee Daeyeol,2/11/93,Golden Child,South Korea,Yongin,,M
Daeyeon,Hwang Da Kyeon,11/17/95,XUM,South Korea,,,F
Dahye,Song Dahye,6/12/93,,South Korea,,,F
Dahyun,Kim Dahyun,5/28/98,Twice,South Korea,Seongnam,,F
Dahyun,Jeong Dahyun,4/29/05,Rocket Punch,South Korea,,,F
Dain,Song Jieun,6/25/90,,South Korea,,,F
Daisy,Yoo Jeongahn,1/22/99,,South Korea,Seoul,,F
Dajeong,Kim Dajeong,8/8/95,Hashtag,South Korea,Gwangju,,F
Dalyn,Lee Sohyun,8/27/99,ANS,South Korea,,,F
Dami,Lee Yoobin,3/7/97,Dreamcatcher,South Korea,Seoul,,F
Dami,Hong Dayoung,6/7/01,ANS,South Korea,,,F
Damon,Hu Boohan,7/2/96,VARSITY,China,,,M
Dan-a,Park Seungyeon,6/26/93,Matilda,South Korea,,,F
Daniel,Kang Daniel,12/10/96,Wanna One,South Korea,Busan,,M
Dany,Jeon Eunji,1/20/98,Ho1iday,South Korea,,,F
Daon,Ahn Seonil,12/10/00,DUSTIN,South Korea,,,M
Dara,Park Sandara,11/12/84,2NE1,South Korea,,,F
Daseul,Yang Daseul,9/14/00,Maka Maka,South Korea,,,F
Dasom,Kim Dasom,5/6/93,SISTAR,South Korea,,,F
Dasom,Lee Dasom,11/13/93,2EYES,South Korea,Cheongju,,F
Dawon,Nam Dawon,3/16/97,Cosmic Girls,South Korea,Seoul,,F
Dawon,Lee Sanghyuk,7/24/95,SF9,South Korea,,,M
Dawon,Cho Dawon,5/12/00,VARSITY,South Korea,,,M
Dawon,Lee Dawon,12/2/96,ARIAZ,South Korea,,,F
Daye,Kim Hyunjung,2/25/98,Berry Good,South Korea,,,F
Dayoung,Kim Dayoung,2/2/91,Blady,South Korea,Jeonju,,F
Dayoung,Im Dayoung,5/14/99,Cosmic Girls,South Korea,Jeju,WJSN Chocome,F
Dayun,Kim Dayun,11/20/00,Bonus Baby,South Korea,,,F
Della,Park Sehyun,9/3/95,Rockit Girl,South Korea,,,F
Denise,Kim Denise,1/11/01,SECRET NUMBER,South Korea,,,F
Dia,Kwak Minnyeong,9/3/99,Maka Maka,South Korea,,,F
Dino,Lee Chan,2/11/99,Seventeen,South Korea,Iksan,,M
Dita,Dita Karang,12/25/96,SECRET NUMBER,Indonesia,Yogyakarta,,F
DK,Lee Seongmin,2/18/97,Seventeen,South Korea,Yongin,,M
DK,Kim Donghyuk,1/3/97,iKON,South Korea,,,M
Doah,Kim Doah,12/4/03,FANATICS,South Korea,,FANATICS FLAVOR,F
Doha,Na Gyumin,3/7/04,BAE173,South Korea,,,M
Dohee,Yoon Dohee,9/24/99,,South Korea,,,F
Dohyon,Nam Dohyon,11/10/04,BAE173,South Korea,,,M
Dohyuk,Kim Dohyuk,1/16/98,14U,South Korea,,,M
Doi,Kim Doi,4/12/94,FANATICS,South Korea,,,F
Dojin,Jeon Yongtae,3/7/97,ENOi,South Korea,,,M
Dokyun,Na Dokyun,2/11/91,HISTORY,South Korea,Daejeon,,M
Donggeon,Song Donggeon,7/15/99,TOO,South Korea,,,M
Donghae,Lee Donghae,10/15/86,Super Junior,South Korea,Mokpo,Super Junior-M,M
Donghan,Kim Donghan,7/3/98,WEi,South Korea,Daegu,,M
Dongheon,Lee Dongheon,8/4/95,Verivery,South Korea,,,M
Donghun,Lee Donghun,5/15/93,A.C.E,South Korea,Suncheon,,M
Donghyun,Kim Donghyun,2/12/89,Boyfriend,South Korea,Seoul,,M
Donghyun,Kim Donghyun,2/23/99,Golden Child,South Korea,,,M
Donghyun,Kim Donghyun,9/17/98,AB6IX,South Korea,Daejeon,MXM,M
Dongjun,Kim Dongjun,2/11/92,ZE:A,South Korea,Busan,,M
Dongjun,Hwang Dongjun,9/7/99,Ghost9,South Korea,,,M
Dongkyu,Moon Dongkyu,11/16/92,Spectrum,South Korea,,,M
Dongmyeong,Son Dongmyeong,1/20/00,Onewe,South Korea,,,M
Dongpyo,Son Dongpyo,9/9/02,,South Korea,,,M
Dongwon,Lee Dongwon,1/1/94,KNK,South Korea,,,M
Dongwoo,Jang Dongwoo,11/22/90,Infinite,South Korea,Guri,Infinite H,M
Dongwoon,Son Dongwoon,6/6/91,Highlight,South Korea,Busan,,M
Dongyun,Kim Dongyun,2/18/02,DRIPPIN,South Korea,,,M
Doojoon,Yoon Doojoon,7/4/89,Highlight,South Korea,Goyang,,M
Dosie,Jang Eunseung,2/11/00,Purple Kiss,South Korea,,,F
Dowoon,Yoon Dowoon,8/25/95,DAY6,South Korea,,,M
Doyeon,Kim Doyeon,12/4/99,Weki Meki,South Korea,Incheon,"I.O.I, WJMK",F
Doyoung,Kim Dongyoung,2/1/96,NCT,South Korea,Guri,"NCT U, NCT 127",M
Doyoung,Kim Doyoung,12/4/03,Treasure,South Korea,,,M
Doyum,Jeon Doyum,2/21/02,1the9,South Korea,Daejeon,,M
Dylan,Park Yeonjae,7/26/02,D-CRUNCH,South Korea,,,M
E'Dawn,Kim Hyojong,6/1/94,,South Korea,,,M
E-Chan,Lee Changmin,2/19/97,DKB,South Korea,,,M
E-tion,Lee Changyoon,12/24/94,ONF,South Korea,Jeonju,,M
E-Young,Noh Yiyoung,8/16/92,After School,South Korea,Chuncheon,,F
E.sol,Jeon Jaehyuk,9/17/92,14U,South Korea,,,M
E:U,Park Jiwon,5/19/98,Everglow,South Korea,,,F
Eli,Ellison Kim,3/13/91,U-KISS,USA,Los Angeles,,M
Elkie,Chong Ting Yan,11/2/98,,Hong Kong,Hong Kong,,F
Ellin,Kim Minyoung,4/2/90,Crayon Pop,South Korea,Daegu,,F
Elly,Jung Haerim,7/20/98,Weki Meki,South Korea,,,F
Ellyn,Bang Sunhee,10/19/02,Girlkind,South Korea,,,F
Eric,Son Youngjae,12/22/00,The Boyz,South Korea,,,M
Eseo,Noh Hyunjung,3/4/96,LUNARSOLAR,South Korea,,,F
Eson,Kim Jungmin,12/28/96,We In The Zone,South Korea,Honolulu,,M
Euaerin,Lee Hyemin,5/3/88,,South Korea,Seoul,,F
Euijin,Hong Euijin,10/8/96,Sonamoo,South Korea,Gwangju,UNI.T,F
Euijin,Lee Euijin,2/15/90,Bigflo,South Korea,Seoul,,M
Eun,Choi Eunmi,5/14/90,Two X,South Korea,,,F
EunB,Shin Eunbi,9/17/00,Maka Maka,South Korea,,,F
EunB,Byun Eunbi,11/23/00,PRECIOUS,South Korea,Busan,,F
Eunbi,Kwon Eunbi,9/27/95,IZ*ONE,South Korea,Seoul,,F
Eunbin,Kwon Eunbin,1/6/00,CLC,South Korea,Seoul,,F
Eunchae,Kwon Chaewon,5/26/99,DIA,South Korea,,,F
Eunha,Jung Eunbi,5/30/97,Gfriend,South Korea,Seoul,,F
Eunho,Shin Donggeun,9/10/92,UNVS,South Korea,,,M
Eunhyuk,Lee Hyukjae,4/4/86,Super Junior,South Korea,Ilsan,Super Junior-M,M
Eunice,Heo Sooyeon,11/2/91,DIA,South Korea,Busan,,F
Eunjae,Kwak Eunjae,5/2/96,14U,South Korea,,,M
Eunji,Jung Eunji,8/18/93,Apink,South Korea,Busan,,F
Eunji,Hong Eunji,7/19/92,Brave Girls,South Korea,Seoul,,F
Eunjin,Ahn Eunjin,8/31/97,,South Korea,Mokpo,,F
Eunjin,Ma Eunjin,5/23/97,Playback,South Korea,Wonju,,F
Eunjin,Moon Eunjin,11/5/98,Highteen,South Korea,,,F
Eunjo,Park Eunjo,3/7/02,Dreamnote,South Korea,,,F
Eunjun,Choi Eunjun,8/6/99,Spectrum,South Korea,,,M
Eunjung,Ham Eunjung,12/12/88,T-ara,South Korea,Seoul,,F
Eunki,Hong Eunki,9/29/97,,South Korea,,,M
Eunkwang,Seo Eunkwang,11/22/90,BtoB,South Korea,Yongin,,M
Eunsang,Lee Eunsang,10/26/02,,South Korea,,,M
Eunseo,Son Juyeon,5/27/98,Cosmic Girls,South Korea,Incheon,,F
Eunsung,Lee Eunsung,9/7/00,TheEastLight,South Korea,,,M
Eunwoo,Jeong Eunwoo,7/1/98,Hinapia,South Korea,,Pristin V,F
Eunwoo,Cha Eunwoo,3/30/97,ASTRO,South Korea,Gunpo,,M
Eunyoung,Joo Eunyoung,6/12/92,Two X,South Korea,,,F
Exy,Chu Sojung,11/6/95,Cosmic Girls,South Korea,Busan,,F
Eyedi,Nam Yujin,12/8/95,,South Korea,,,F
Fei,Wang FeiFei,4/27/87,miss A,China,Haikou,,F
Felix,Lee Youngbok,9/15/00,Stray Kids,South Korea,Sydney,,M
G-Dragon,Kwon Jiyong,8/18/88,BIGBANG,South Korea,Seoul,GD&TOP,M
G.NA,Gina Jane Choi,9/13/87,,Canada,Edmonton,,F
G.O,Jung Byunghee,11/6/87,MBLAQ,South Korea,Changwon,,M
Gabin,Kim Gabin,9/18/89,Blady,South Korea,Busan,,F
Gaeul,Park Gaeul,5/8/99,Favorite,South Korea,Seoul,,F
Gaeun,Cho Kaeun,7/28/92,,South Korea,Changwon,,F
Gaga,Lee Soobin,11/10/94,Gate9,South Korea,,,F
Gaga,Li Jia Jia,9/1/99,,China,,,F
Gahyeon,Lee Gahyeon,2/3/99,Dreamcatcher,South Korea,Seongnam,,F
Gain,Son Gain,9/20/87,Brown Eyed Girls,South Korea,,,F
Gaon,Beom Gaon,3/9/01,Bonus Baby,South Korea,,,F
Gayoon,Heo Gayoon,5/18/90,4minute,South Korea,Seoul,2YOON,F
Gayoung,Kim Gayoung,12/2/91,Stellar,South Korea,Seoul,,F
Geummi,Baek Boram,6/18/88,Crayon Pop,South Korea,Seoul,,F
Gihwan,Kim Gihwan,11/24/93,SIGNAL,South Korea,,,M
Gijung,Kim Gijung,1/24/01,IM,South Korea,,,M
Gikwang,Lee Gikwang,3/30/90,Highlight,South Korea,Gwangju,,M
Giru,Park Giru,8/14/91,Blady,South Korea,Incheon,,F
Giselle,Uchinaga Aeri,10/30/00,aespa,Japan,,,F
Giseok,Jun Giseok,5/2/97,IM,South Korea,,,M
GK,Kim Kwanghyun,9/29/98,DKB,South Korea,,,M
Goeun,Na Goeun,9/3/99,Purple Kiss,South Korea,,,F
Gohn,Kim Dongsung,8/1/92,,South Korea,Seoul,,M
Gohyeon,Go Hyeon,10/1/94,14U,South Korea,,,M
Gon,Kim Seongjung,11/13/98,ARGON,South Korea,,,M
Gongchan,Gong Chansik,8/14/93,B1A4,South Korea,Suncheon,,M
Gowon,Park Chaewon,11/19/00,LOONA,South Korea,,Loona yyxy,F
Gowoon,Moon Joojeong,12/18/98,Berry Good,South Korea,,,F
Gracie,Kim Gaeun,10/28/96,H.U.B,South Korea,,,F
Green,Kim Jiwon,7/1/97,RedSquare,South Korea,Daegu,,F
Gun,Kwak Gun,9/29/01,14U,South Korea,,,M
Gun,Yang Hyuk,3/15/00,ENOi,South Korea,,,M
Gunmin,Lee Gunmin,10/3/94,B.I.G,South Korea,Gangwon,,M
Gunwoo,Lee Gunwoo,1/30/89,MYNAME,South Korea,Daejeon,,M
Gyehyeon,Jo Gyehyeon,5/14/99,Verivery,South Korea,,,M
Gyeongtae,Kwon Gyeongtae,7/23/00,14U,South Korea,,,M
Gyujin,Han Gyujin,11/21/97,UP10TION,South Korea,Icheon,,M
Gyuri,Park Gyuri,5/21/88,KARA,South Korea,Seoul,,F
Gyuri,Jang Gyuri,12/27/97,fromis_9,South Korea,Seoul,,F
Habin,Yoo Habin,3/10/02,,South Korea,,,F
Haebin,Han Haebin,8/16/95,Gugudan,South Korea,,,F
Haechan,Lee Donghyuk,6/6/00,NCT,South Korea,,"NCT 127, NCT Dream",M
Haein,Yeom Haein,5/19/95,LABOUM,South Korea,Ojeonggu,,F
Haena,Lee Haena,6/2/91,Matilda,South Korea,,,F
Haena,Jeon Eunbi,2/19/02,ANS,South Korea,,,F
Haeri,Lee Haeri,2/14/85,Davichi,South Korea,Seoul,,F
Haeri,Jung Haeri,1/14/97,P.O.P,South Korea,Seoul,,F
Haeryeong,Na Haeryeong,11/11/94,BESTie,South Korea,,,F
Haeun,Yoon Haeun,3/12/99,3YE,South Korea,,,F
Haeyeon,Lee Taeyeon,1/11/94,Gate9,South Korea,,,F
Haeyoon,Park Haeyoon,1/10/96,Cherry Bullet,South Korea,,,F
Hajeong,Lee Hajeong,9/23/97,,South Korea,,,F
Hakmin,Lee Hakmin,9/20/00,TRCNG,South Korea,,,M
Hamin,Jo Hamin,10/24/97,ENOi,South Korea,,,M
Han,Han Jisung,9/14/00,Stray Kids,South Korea,Incheon,3RACHA,M
Han Geng,Han Geng,2/9/84,,China,Mudanjiang,,M
Han Hyeri,Han Hyeri,8/24/97,I.B.I,South Korea,Gwangmyeong,,F
Han Leeseul,Han Jiyoon,2/12/00,Rockit Girl,South Korea,,,F
Hana,Shin Bora,4/30/93,Gugudan,South Korea,,,F
Hana,Jung Hana,2/2/90,SECRET,South Korea,Uljeongbu,,F
Hanbyeol,Ahn Hanbyeol,10/13/03,,South Korea,,,F
Hanbyul,Kyung Hanbyul,7/1/05,PRECIOUS,South Korea,Seoul,,F
Handong,Han Dong,3/26/96,Dreamcatcher,China,Wuhan,,F
Haneul,Lee Haneul,6/3/96,ARGON,South Korea,,,M
Haneul,Choi Haneul,11/28/00,Saturday,South Korea,,,F
Hangyul,Lee Hangyul,12/7/99,BAE173,South Korea,,,M
Hani,Ahn Hee-yeon,5/1/92,EXID,South Korea,Seoul,,F
Hanna,Shin Jiyeon,2/19/94,MIXX,South Korea,,,F
Hanse,Do Hanse,9/25/97,VICTON,South Korea,,,M
Hansol,Kim Hansol,6/15/93,,South Korea,Busan,,M
Hanwoom,Byun Hanwoom,6/5/01,PRECIOUS,South Korea,Seoul,,F
Hara,Koo Hara,1/13/91,KARA,South Korea,Gwangju,,F
Harin,Ju Harin,3/29/98,Onewe,South Korea,,,M
Harin,,11/21/95,Lusty,South Korea,Seoul,,F
Harin,Park Guenhye,5/26/00,Pink Fantasy,South Korea,,,F
Harin,Seo Harin,12/7/00,BOTOPASS,South Korea,,,F
Harry-June,Han Harry-June,1/1/04,DKB,South Korea,,,M
Haru,Han Sangsook,7/6/94,Gate9,South Korea,Bucheon,,F
Haru,Abe Haruno,2/21/00,NATURE,Japan,,,F
Haru,Lee Yoojeong,2/26/97,Ho1iday,South Korea,,,F
Haruto,Watanabe Haruto,4/5/04,Treasure,Japan,,,M
Haseul,Jo Haseul,8/18/97,LOONA,South Korea,Ansan,Loona 1/3,F
Hayoon,Jung Hayoon,11/21/98,Bonus Baby,South Korea,,,F
Hayoung,Oh Hayoung,7/19/96,Apink,South Korea,Seoul,,F
Hayoung,Lee Hayoung,8/3/93,Playback,South Korea,,,F
Hayoung,Choi Hayoung,8/22/00,TRCNG,South Korea,,,M
Hayoung,Song Hayoung,9/29/97,fromis_9,South Korea,Gwangju,,F
Hayun,Lee Hayun,8/29/94,Brave Girls,South Korea,Changwon,,F
Heechan,Yang Heechan,7/31/99,DKB,South Korea,,,M
Heechul,Kim Heechul,7/10/83,Super Junior,South Korea,Hoengseong,,M
Heechul,Jung Heechul,12/9/89,ZE:A,South Korea,Jeju,,M
Heedo,Yoon Heedo,4/22/96,B.I.G,South Korea,Seoul,,M
Heejin,Jeon Heejin,10/19/00,LOONA,South Korea,Seongnam,Loona 1/3,F
Heejin,Song Heejin,8/19/95,Good Day,South Korea,Seoul,,F
Heejoo,Jeon Heejoo,11/30/96,Ho1iday,South Korea,,,F
Heejun,Oh Heejun,5/8/96,KNK,South Korea,,,M
Heeo,Gwak Heeoh,5/2/94,4TEN,South Korea,,,F
Heeseok,Yun Heeseok,6/10/97,Limitless,South Korea,,,M
Heeseung,Lee Heeseung,10/15/01,ENHYPEN,South Korea,,,M
Heesu,Kim Heesu,3/24/98,Maka Maka,South Korea,,,F
Heesun,Park Heesun,1/25/05,Pink Fantasy,South Korea,,,F
Heeyu,Choi Heejae,6/30/95,MIXX,South Korea,,,F
Henny,Kang Gayoung,12/1/94,,South Korea,,,F
Henry,Henry Lau,10/11/89,Super Junior-M,Canada,Toronto,,M
Heo Chan,Heo Chan,12/14/95,VICTON,South Korea,,,M
High.D,Kim Dohee,12/21/96,Sonamoo,South Korea,Suwon,,F
HighTop,Lim Hyeontae,3/19/94,Bigflo,South Korea,,,M
